First Name,Last Name,role,Clock In Time, Clock Out Time, Date
Jane,Doe,manager,00:14,00:14,2024-04-27
John,Doe,chef,00:41,00:42,2024-04-27
Peter,Paul,waiter,23:19,23:19,2024-04-26
Marry,Ann,deliveryDriver,23:21,23:21,2024-04-26
Jane,Doe,manager,00:39,00:39,2024-04-27
Peter,Paul,waiter,00:40,00:41,2024-04-27
John,Doe,chef,00:41,00.42,2024-04-27
Marry,Ann,deliveryDriver,08:45,08:45,2024-04-27
Jane,Doe,manager,08:45,08:45,2024-04-27
Jane,Doe,manager,13:06,13:06,2024-04-27
John,Doe,chef,13:17,13:17,2024-04-27
Jane,Doe,manager,13:31,13:31,2024-04-27
Jane,Doe,manager,13:55,13.58,2024-04-27
Jane,Doe,manager,14:49,14:49,2024-04-27
Jane,Doe,manager,15:25,15:25,2024-04-27
Jane,Doe,manager,15:33,15:33,2024-04-27
John,Doe,chef,15:37,0.0,2024-04-27
Jane,Doe,manager,17:38,17:38,2024-04-27
Jane,Doe,manager,17:38,17:38,2024-04-27
Jane,Doe,manager,16:03,0.0,2024-04-27
Jane,Doe,manager,16:07,0.0,2024-04-27
Marry,Ann,deliveryDriver,16:21,0.0,2024-04-27
Peter,Paul,waiter,17:39,17:39,2024-04-27
Marry,Ann,deliveryDriver,16:40,0.0,2024-04-27
Peter,Paul,waiter,17:44,17:44,2024-04-27
Jane,Doe,manager,17:24,0.0,2024-04-27
Jane,Doe,manager,17:25,0.0,2024-04-27
Jane,Doe,manager,17:25,0.0,2024-04-27
Jane,Doe,manager,17:31,0.0,2024-04-27
Jane,Doe,manager,17:33,0.0,2024-04-27
Jane,Doe,manager,17:34,0.0,2024-04-27
Peter,Paul,waiter,17:34,0.0,2024-04-27
Marry,Ann,deliveryDriver,17:34,0.0,2024-04-27
Jane,Doe,manager,17:35,0.0,2024-04-27
Jane,Doe,manager,17:38,0.0,2024-04-27
Jane,Doe,manager,17:38,0.0,2024-04-27
Peter,Paul,waiter,17:39,0.0,2024-04-27
Peter,Paul,waiter,17:44,0.0,2024-04-27
Jane,Doe,manager,18:14,0.0,2024-04-27
Peter,Paul,waiter,18:16,0.0,2024-04-27
Jane,Doe,manager,21:52,0.0,2024-04-27
John,Doe,chef,21:52,0.0,2024-04-27
Jane,Doe,manager,22:12,0.0,2024-04-27
John,Doe,chef,22:13,0.0,2024-04-27
Marry,Ann,deliveryDriver,22:13,0.0,2024-04-27
Peter,Paul,waiter,22:13,0.0,2024-04-27
Jane,Doe,manager,22:13,0.0,2024-04-27
Jane,Doe,manager,23:04,0.0,2024-04-27
John,Doe,chef,23:04,0.0,2024-04-27
Peter,Paul,waiter,23:04,0.0,2024-04-27
Marry,Ann,deliveryDriver,23:04,0.0,2024-04-27
Jane,Doe,manager,02:42,0.0,2024-04-28
Jane,Doe,manager,02:49,0.0,2024-04-28
